Male_Female,Event,Name,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6
Male,Javelin,Corey White,71.84,73.85,73.06,71.25,73.77,72.12
Male,Javelin,Curtis Moss,70.66,72.04,73.11,72.05,73.60,73.51
Male,Javelin,Riley Dolezal,64.05,70.72,73.25,68.51,71.02,70.50
Male,Javelin,Juan Jose Mendez Blasco,70.35,0.00,69.83,0.00,58.47,69.25
Male,Javelin,Benjamin Woodruff,66.94,67.58,67.15,0.00,69.49,70.03
Female,Javelin,Brittany Borman,56.68,52.09,0.00,53.31,0.00,56.58
Female,Javelin,Leigh Petranoff,0.00,0.00,52.25,48.42,51.16,53.17
Female,Javelin,Kimberley Hamilton,52.55,49.07,0.00,49.61,0.00,48.72
Female,Javelin,Hannah Carson,0.00,45.36,46.81,51.76,48.42,0.00
Female,Javelin,McKell Camp-Nielson,45.22,47.02,44.51,45.74,42.77,42.53
Female,Javelin,Diana Sammai Martinez,42.39,40.14,42.53,44.83,45.84,46.27
Female,Hammer,Sultana Frizell,70.87,71.29,0.00,71.04,71.57,0.00
Female,Hammer,Britney Henry,66.79,69.75,0.00,0.00,0.00,0.00
Female,Hammer,Sophie Hitchon,68.32,69.13,68.97,69.54,69.25,68.67
Female,Hammer,Jessica Cosby Toruga,68.83,68.31,68.96,67.47,67.41,65.30
Female,Hammer,Ida Storm,59.39,49.65,0.00,0.00,68.05,0.00
Female,Hammer,Sarah Holt,65.44,65.28,6.47,65.37,65.28,0.00
Female,Hammer,Brooke Pleger,64.48,63.24,65.06,63.23,62.85,65.06
Female,Hammer,Ashley Harbin,58.41,0.00,0.00,57.35,0.00,63.07
Female,Hammer,Taylor Bush,58.82,62.34,0.00,0.00,62.57,60.94
Female,Hammer,Marissa Minderler,56.34,0.00,0.00,59.80,58.28,60.04
Female,Hammer,Jade Grace,55.27,54.35,55.15,56.23,57.73,56.90
Female,Hammer,Jenny Ozorai,0.00,0.00,0.00,0.00,0.00,0.00
Male,Hammer,Kibwe Johnson,0.00,76.28,0.00,0.00,0.00,0.00
Male,Hammer,Andrew Loftin,73.59,74.63,73.27,71.64,72.40,72.39
Male,Hammer,Mark Dry,72.85,73.49,73.98,0.00,73.00,74.46
Male,Hammer,Libor Charfreitag,73.06,0.00,73.12,73.63,72.55,71.27
Male,Hammer,Nick Miller,63.04,70.19,67.47,70.20,68.97,0.00
Male,Hammer,Colin Dunbar,66.48,68.90,68.84,0.00,68.42,69.15
Male,Hammer,Alec Faldermeyer,66.98,68.62,68.59,67.72,0.00,67.66
Male,Hammer,Baptiste Kerjean,66.44,0.00,0.00,0.00,0.00,0.00
Male,Hammer,Remy Conaster,63.94,64.52,61.65,0.00,64.00,65.65
Male,Hammer,Ethan Dennis,64.70,0.00,60.49,61.15,0.00,0.00
Male,Hammer,Bryce Buffalo,59.51,57.73,61.69,63.54,62.82,60.95
Male,Hammer,Taylor Berliant,61.84,0.00,61.80,0.00,0.00,62.00
Male,Hammer,Alex Umstead,58.71,0.00,61.70,0.00,59.95,0.00
Male,Hammer,Tyler Johnson,0.00,56.24,0.00,61.53,60.27,60.65
Male,Hammer,Jordan Arakawa,0.00,0.00,57.95,59.74,57.87,58.88
Female,Shot put,Jeneva McCall-Stevens,17.20,17.47,17.95,18.50,18.15,18.63
Female,Shot put,Brittany Smith,18.48,0.00,0.00,18.52,0.00,0.00
Female,Shot put,Raven Saunders,17.21,18.01,18.19,18.01,18.23,0.00
Female,Shot put,Becky O'Brien,17.82,0.00,16.47,16.54,17.27,16.28
Female,Shot put,Taryn Suttie,16.90,0.00,0.00,17.01,0.00,16.86
Female,Shot put,Daniella Bunch,0.00,16.78,0.00,0.00,0.00,0.00
Female,Shot put,Danielle Frere,16.01,16.19,16.58,0.00,0.00,15.87
Female,Shot put,DeAnna Price,15.82,0.00,14.70,16.30,0.00,15.56
Female,Shot put,Ashley Gaston,15.04,0.00,16.19,0.00,15.98,15.94
Female,Shot put,Emily Lesser,15.52,15.75,0.00,0.00,0.00,0.00
Female,Shot put,Torie Owers,0.00,15.07,0.00,0.00,0.00,0.00
Female,Shot put,Alex Porlier-Langlois,14.34,0.00,14.96,0.00,0.00,0.00
Male,Javelin,Riley Dolezal,0.00,0.00,70.19,75.15,75.91,79.69
Male,Javelin,Craig Kinsley,73.27,73.47,0.00,77.30,77.19,77.85
Male,Javelin,Samuel Crouser,73.10,0.00,72.55,76.75,76.29,74.05
Male,Javelin,Benjamin Woodruff,71.06,71.01,71.80,0.00,0.00,71.07
Male,Javelin,Juan Jose Mendez Blasco,70.04,0.00,67.99,66.28,0.00,0.00
Male,Javelin,Cooper Thompson,65.76,66.43,0.00,67.49,0.00,0.00
Male,Javelin,Ryan Young,67.39,62.39,0.00,62.24,0.00,63.71
Male,Hammer,Conor McCullough,71.75,72.39,71.73,70.38,73.13,73.70
Male,Hammer,Diego Alan del Real Gali,69.00,69.23,70.40,70.83,72.66,71.89
Male,Hammer,Colin Dunbar,69.29,70.26,69.36,68.39,0.00,0.00
Male,Hammer,Remy Conaster,70.25,0.00,68.52,0.00,0.00,0.00
Male,Hammer,Kamalpreet Singh,67.90,69.76,68.51,68.96,69.01,68.48
Male,Hammer,Renaldo Frechou,0.00,0.00,65.72,66.17,68.79,0.00
Male,Hammer,Alex Poursanidis,67.30,0.00,0.00,0.00,68.49,0.00
Male,Hammer,Curtis Wideman,64.43,66.68,67.34,0.00,0.00,67.38
